id,trade_unions_taking_action,email_solidarity,employer_name,action_reason,action_start,constituency,region,country,more_information,strike_status,status,location/lat,location/lng,twitter_handles,union/slug,union
22203,Associated Society of Locomotive Engineers and Firemen,diary@aslef.org.uk,"Avanti West Coast, West Midlands Trains",Pay,2022-11-26T00:00:00+00:00,Wolverhampton North East,West Midlands,England,ASLEF members at 11  train operating companies will take strike action on 26th November in an ongoing dispute over pay. Find out more at https://aslef.org.uk/campaign/fair-pay-stand-train-drivers,ACTIVE,,52.587681,-2.120163,,aslef,
21708,PCS,rebecca@pcs.uk,HM Courts & Tribunal Service,,2022-10-24T16:13:45+00:00,Luton South,East of England,England,"The failure of HMCTS to make any tangible offers or delay the future rollout of Common Platform computer system - Picket lines at Luton, Manchester and Peterborough Magistrates Court on Monday 24 October from 08:30am until 11:00am",ACTIVE,,51.878233,-0.420285,,,
21786,Unite the Union,,Renold Couplings,Pay,2022-10-25T10:36:51+00:00,Cardiff South and Penarth,null,Wales,"Workers employed by Renold Couplings in East Cardiff have today commenced four weeks of continuous strike action over pay. In a recent ballot Unite members at the site in East Cardiff, voted by over 91% in favour of industrial action.

Renold Couplings, who manufacture power transmission products, have offered workers a pay offer well below inflation. This is despite the fact that workers endured a pay freeze during the Covid pandemic.",ACTIVE,,51.509659,-3.098135,,,
21787,"Unite the Union, GMB",barckley.sumner@unitetheunion.org,Walsall Housing Group,Pay,2022-10-21T10:39:28+00:00,Walsall South,West Midlands,England,"Over 40 members of Unite at Walsall Housing Group will take 12 days of strike action over the coming weeks on October 21, 24, 28 and 31 and then on 4, 7, 11, 14, 18, 21, 25 and 28 November.",ACTIVE,,52.589062,-1.978967,,,
21798,Unite the Union,,Arrow XL,Pay,2022-11-08T11:18:06+00:00,Worcester,West Midlands,England,,ACTIVE,,52.218808,-2.194752,,,
707,"National Union of Rail, Maritime, and Transport Workers",aidanjade@hotmail.com,London Underground ,,2022-11-10T00:00:00+00:00,Dulwich and West Norwood,London,England,Action is now on 10 November,ACTIVE,,51.462703,-0.114669,,,
21536,PCS,Dsg@pcs.org.uk ,Ministry Of Justice (Government) ,Bullying/harassment,2022-09-05T19:53:20+00:00,"Plymouth, Sutton and Devonport",South West,England,"No consultation over new working practice. I say jump you say how high

",ACTIVE,,50.391225,-4.184264,,,
21788,UNISON: The Public Service Union,contact@unison-wakefield.org.uk,National Coal Mining Museum,Pay,2022-10-26T10:51:33+00:00,Wakefield,Yorkshire and The Humber,England,"Union officials said the Wakefield museum's pay offer was half the rate of inflation and members did not want to strike but ""had no choice"".",ACTIVE,,53.643542,-1.61943,,,
21842,National Education Union,robert.phillips@neu.org.uk,The Sixth Form College Colchester,Pay,2022-11-30T00:00:00+00:00,Colchester,East of England,England,https://neu.org.uk/press-releases/sixth-form-colleges-ballot-result,ACTIVE,,51.890928,0.894746,,neu,
21901,Unite the Union,gerry.ogorman@hotmail.co.uk,Mizkan Euro Ltd,Pay,2022-10-18T16:18:03+00:00,Heywood and Middleton,North West,England,"Mizkan workers seek a 7% cost of living pay rise  after a 5% offer was rejected by 93% of union members. Since 18 October strike action was limited to 2 days per week, but members intend being on 'all-out' strike with effect from Tuesday 22 November to force the issue. Mizkan strikers would most welcome daily picket-line support & solidarity, from 7am. Financial support would also be very much welcome - Bank details are as follows
Account Name: Unite Nw/840
Account Number:	20414935
Sort code: 60-83-01

",ACTIVE,,53.548767,-2.170099,,,
