more_information,info_id,date
ASLEF members at 11  train operating companies will take strike action on 26th November in an ongoing dispute over pay. Find out more at https://aslef.org.uk/campaign/fair-pay-stand-train-drivers,1,2022-11-26
"The failure of HMCTS to make any tangible offers or delay the future rollout of Common Platform computer system - Picket lines at Luton, Manchester and Peterborough Magistrates Court on Monday 24 October from 08:30am until 11:00am",2,2022-10-24
"Next strike dates: Friday 9th December, Sunday 11th December, Wednesday 14th December, Thursday 15th December, Friday 23rd December, Saturday 24th December",3,2022-12-09
"Next strike dates: Friday 9th December, Sunday 11th December, Wednesday 14th December, Thursday 15th December, Friday 23rd December, Saturday 24th December",3,2022-12-11
"Next strike dates: Friday 9th December, Sunday 11th December, Wednesday 14th December, Thursday 15th December, Friday 23rd December, Saturday 24th December",3,2022-12-14
"Next strike dates: Friday 9th December, Sunday 11th December, Wednesday 14th December, Thursday 15th December, Friday 23rd December, Saturday 24th December",3,2022-12-15
"Next strike dates: Friday 9th December, Sunday 11th December, Wednesday 14th December, Thursday 15th December, Friday 23rd December, Saturday 24th December",3,2022-12-23
"Next strike dates: Friday 9th December, Sunday 11th December, Wednesday 14th December, Thursday 15th December, Friday 23rd December, Saturday 24th December",3,2022-12-24
"Workers employed by Renold Couplings in East Cardiff have today commenced four weeks of continuous strike action over pay. In a recent ballot Unite members at the site in East Cardiff, voted by over 91% in favour of industrial action.

Renold Couplings, who manufacture power transmission products, have offered workers a pay offer well below inflation. This is despite the fact that workers endured a pay freeze during the Covid pandemic.",4,NA
"Over 40 members of Unite at Walsall Housing Group will take 12 days of strike action over the coming weeks on October 21, 24, 28 and 31 and then on 4, 7, 11, 14, 18, 21, 25 and 28 November.",5,2022-10-21
"Over 40 members of Unite at Walsall Housing Group will take 12 days of strike action over the coming weeks on October 21, 24, 28 and 31 and then on 4, 7, 11, 14, 18, 21, 25 and 28 November.",5,2022-10-24
"Over 40 members of Unite at Walsall Housing Group will take 12 days of strike action over the coming weeks on October 21, 24, 28 and 31 and then on 4, 7, 11, 14, 18, 21, 25 and 28 November.",5,2022-10-28
"Over 40 members of Unite at Walsall Housing Group will take 12 days of strike action over the coming weeks on October 21, 24, 28 and 31 and then on 4, 7, 11, 14, 18, 21, 25 and 28 November.",5,2022-10-31
"Over 40 members of Unite at Walsall Housing Group will take 12 days of strike action over the coming weeks on October 21, 24, 28 and 31 and then on 4, 7, 11, 14, 18, 21, 25 and 28 November.",5,2022-11-04
"Over 40 members of Unite at Walsall Housing Group will take 12 days of strike action over the coming weeks on October 21, 24, 28 and 31 and then on 4, 7, 11, 14, 18, 21, 25 and 28 November.",5,2022-11-07
"Over 40 members of Unite at Walsall Housing Group will take 12 days of strike action over the coming weeks on October 21, 24, 28 and 31 and then on 4, 7, 11, 14, 18, 21, 25 and 28 November.",5,2022-11-11
"Over 40 members of Unite at Walsall Housing Group will take 12 days of strike action over the coming weeks on October 21, 24, 28 and 31 and then on 4, 7, 11, 14, 18, 21, 25 and 28 November.",5,2022-11-14
"Over 40 members of Unite at Walsall Housing Group will take 12 days of strike action over the coming weeks on October 21, 24, 28 and 31 and then on 4, 7, 11, 14, 18, 21, 25 and 28 November.",5,2022-11-18
"Over 40 members of Unite at Walsall Housing Group will take 12 days of strike action over the coming weeks on October 21, 24, 28 and 31 and then on 4, 7, 11, 14, 18, 21, 25 and 28 November.",5,2022-11-21
"Over 40 members of Unite at Walsall Housing Group will take 12 days of strike action over the coming weeks on October 21, 24, 28 and 31 and then on 4, 7, 11, 14, 18, 21, 25 and 28 November.",5,2022-11-25
